CODES;TYPE;CODE ORLI;NOMS
004;SUCC;SC000004;Bdx Ste Catherine
005;SUCC;SC000005;Lyon vh
008;SUCC;SC000008;Poitiers
012;SUCC;SC000012;Toulouse St Rome
015;SUCC;SC000015;Lille Tanneurs
017;SUCC;SC000017;Grenoble Gd Place
018;SUCC;SC000018;St Etienne
019;SUCC;SC000019;Orleans
024;SUCC;SC000024;Bethune
026;SUCC;SC000026;Faches Thumesnil
028;SUCC;SC000028;Pau
030;SUCC;SC000030;Arras
032;SUCC;SC000032;Moisselles
036;SUCC;SC000036;Manosque 
039;SUCC;SC000039;Poitiers 2
042;SUCC;SC000042;Echirolles
043;SUCC;SC000043;Toulouse St Orens
044;SUCC;SC000044;Quetigny
048;SUCC;SC000048;Creches sur Saone
049;SUCC;SC000049;Montesson
050;SUCC;SC000050;Rodez
051;SUCC;SC000051;Paris StatPuteaux NE PAS DIS
056;SUCC;SC000056;Paris GDL RER
060;SUCC;SC000060;Nancy gare
061;SUCC;SC000061;Metz
062;SUCC;SC000062;Thionville
063;SUCC;SC000063;Vaulx en Velin
064;SUCC;SC000064;Vendin le vieil
066;SUCC;SC000066;St Priest 
067;SUCC;SC000067;Rouen Mt StAignan
074;SUCC;SC000074;Caen - Mondeville 
075;SUCC;SC000075;Strasbourg
077;SUCC;SC000077;Tarbes
078;SUCC;SC000078;Vichy
079;SUCC;SC000079;Clermont Ferrand
080;SUCC;SC000080;Lens
081;SUCC;SC000081;Nogent
083;SUCC;SC000083;Perpignan
085;SUCC;SC000085;Aulnay sous Bois
086;SUCC;SC000086;Montluçon
088;SUCC;SC000088;Chambray les Tour
089;SUCC;SC000089;Lyon pd + de coffret  (1 COND COS)
090;SUCC;SC000090;Montpellier
091;SUCC;SC000091;Cabries + DE COFFRET
092;SUCC;SC000092;Forum des Halles CC NE PAS DIS
094;SUCC;SC000094;Chateaufarine
096;SUCC;SC000096;Bayonne
097;SUCC;SC000097;EVRY 2
098;SUCC;SC000098;Marseille Valenti 
099;SUCC;SC000099;Marseille Gr litt
100;SUCC;SC000100;Toulouse Roques 
200;SUCC;SC000200;Lyon Dardilly
201;SUCC;SC000201;St Omer
203;SUCC;SC000203;Toulouse Blagnac
204;SUCC;SC000204;Nimes Gl Perrier
205;SUCC;SC000205;Nancy St Sébastie travaux fin aout
209;SUCC;SC000209;Toulouse Fenouill
211;SUCC;SC000211;ST Jean de Ruelle
212;SUCC;SC000212;Bouliac
213;SUCC;SC000213;ST Quentin
214;SUCC;SC000214;Créteil
215;SUCC;SC000215;Troyes SANS COS
216;SUCC;SC000216;Arles
217;SUCC;SC000217;Chalon sur Saône
218;SUCC;SC000218;Claye Souilly
219;SUCC;SC000219;Marseille St Char
221;SUCC;SC000221;Angoulême
222;SUCC;SC000222;Nantes St S
223;SUCC;SC000223;Croix Dampi
224;SUCC;SC000224;Martigues
225;SUCC;SC000225;Montpellier Odyse
227;SUCC;SC000227;Reims Cormo
228;SUCC;SC000228;Douai Flers
229;SUCC;SC000229;Creil
230;SUCC;SC000230;Villeneuve
233;SUCC;SC000233;Amiens Glisy
234;SUCC;SC000234;Villefranche/Saon
235;SUCC;SC000235;Clermont Aubière SANS COS
236;SUCC;SC000236;La Roche Sur Yon
237;SUCC;SC000237;Quimper
238;SUCC;SC000238;Carré Sénart
239;SUCC;SC000239;Limoges Boisseuil SANS COS
242;SUCC;SC000242;Mérignac Soleil
243;SUCC;SC000243;Gare de Lyon sncf
244;SUCC;SC000244;Metz Muse
245;SUCC;SC000245;Puget sur Argens
246;SUCC;SC000246;St Etienne Monthi
247;SUCC;SC000247;Toulouse Balma
250;SUCC;SC000250;La Rochelle
251;SUCC;SC000251;Pontault Combault
252;SUCC;SC000252;Paris Les Halles RER JUSTE PARF
254;SUCC;SC000254;Calais Coquelles
255;SUCC;SC000255;Valence VH
256;SUCC;SC000256;Mont St Martin
258;SUCC;SC000258;Flins
259;SUCC;SC000259;Louvroil
260;SUCC;SC000260;Rouen Dock 76
261;SUCC;SC000261;Pau Auchan
